Competitions,Frequency,Replicate,Lac_marker,Competitor,Hour,Lac_CFU,Comp_CFU,Pop_CFU,Lac_proportion,Comp_proportion
PA14 Ancestor vs Lac Ancestor,1:9,1,Lac Ancestor,PA14 Ancestor,0,1.40E+06,8.70E+06,1.01E+07,1.39E-01,8.61E-01
PA14 Ancestor vs Lac Ancestor,1:9,2,Lac Ancestor,PA14 Ancestor,0,1.60E+06,9.10E+06,1.07E+07,1.50E-01,8.50E-01
PA14 Ancestor vs Lac Ancestor,1:9,3,Lac Ancestor,PA14 Ancestor,0,1.60E+06,9.10E+06,1.07E+07,1.50E-01,8.50E-01
PA14 Ancestor vs Lac Ancestor,9:1,1,Lac Ancestor,PA14 Ancestor,0,6.80E+06,1.40E+06,8.20E+06,8.29E-01,1.71E-01
PA14 Ancestor vs Lac Ancestor,9:1,2,Lac Ancestor,PA14 Ancestor,0,6.10E+06,1.80E+06,7.90E+06,7.72E-01,2.28E-01
PA14 Ancestor vs Lac Ancestor,9:1,3,Lac Ancestor,PA14 Ancestor,0,6.00E+06,1.60E+06,7.60E+06,7.89E-01,2.11E-01
PA14 Ancestor vs new G1,1:9,1,new G1,PA14 Ancestor,0,1.70E+05,9.60E+06,9.77E+06,1.74E-02,9.83E-01
PA14 Ancestor vs new G1,1:9,2,new G1,PA14 Ancestor,0,1.30E+05,9.30E+06,9.43E+06,1.38E-02,9.86E-01
PA14 Ancestor vs new G1,1:9,3,new G1,PA14 Ancestor,0,1.30E+05,9.30E+06,9.43E+06,1.38E-02,9.86E-01
PA14 Ancestor vs new G1,9:1,1,new G1,PA14 Ancestor,0,1.40E+06,1.18E+06,2.58E+06,5.43E-01,4.57E-01
PA14 Ancestor vs new G1,9:1,2,new G1,PA14 Ancestor,0,1.73E+06,1.22E+06,2.95E+06,5.86E-01,4.14E-01
PA14 Ancestor vs new G1,9:1,3,new G1,PA14 Ancestor,0,1.34E+06,8.80E+05,2.22E+06,6.04E-01,3.96E-01
PA14 Ancestor vs B1,1:9,1,B1,PA14 Ancestor,0,1.30E+05,9.70E+06,9.83E+06,1.32E-02,9.87E-01
PA14 Ancestor vs B1,1:9,2,B1,PA14 Ancestor,0,1.60E+05,1.09E+07,1.11E+07,1.45E-02,9.86E-01
PA14 Ancestor vs B1,1:9,3,B1,PA14 Ancestor,0,1.50E+05,1.07E+07,1.09E+07,1.38E-02,9.86E-01
PA14 Ancestor vs B1,9:1,1,B1,PA14 Ancestor,0,1.67E+06,9.60E+05,2.63E+06,6.35E-01,3.65E-01
PA14 Ancestor vs B1,9:1,2,B1,PA14 Ancestor,0,1.35E+06,1.45E+06,2.80E+06,4.82E-01,5.18E-01
PA14 Ancestor vs B1,9:1,3,B1,PA14 Ancestor,0,1.82E+06,2.02E+06,3.84E+06,4.74E-01,5.26E-01
PA14 Ancestor vs Lac Ancestor,1:9,1,Lac Ancestor,PA14 Ancestor,4,3.50E+07,1.85E+08,2.20E+08,1.59E-01,8.41E-01
PA14 Ancestor vs Lac Ancestor,1:9,2,Lac Ancestor,PA14 Ancestor,4,2.80E+07,1.75E+08,2.03E+08,1.38E-01,8.62E-01
PA14 Ancestor vs Lac Ancestor,1:9,3,Lac Ancestor,PA14 Ancestor,4,2.70E+07,2.11E+08,2.38E+08,1.13E-01,8.87E-01
PA14 Ancestor vs Lac Ancestor,9:1,1,Lac Ancestor,PA14 Ancestor,4,1.70E+08,3.10E+07,2.01E+08,8.46E-01,1.54E-01
PA14 Ancestor vs Lac Ancestor,9:1,2,Lac Ancestor,PA14 Ancestor,4,1.40E+08,4.10E+07,1.81E+08,7.73E-01,2.27E-01
PA14 Ancestor vs Lac Ancestor,9:1,3,Lac Ancestor,PA14 Ancestor,4,9.20E+07,2.80E+07,1.20E+08,7.67E-01,2.33E-01
PA14 Ancestor vs new G1,1:9,1,new G1,PA14 Ancestor,4,4.80E+06,6.28E+07,6.76E+07,7.10E-02,9.29E-01
PA14 Ancestor vs new G1,1:9,2,new G1,PA14 Ancestor,4,7.40E+06,6.76E+07,7.50E+07,9.87E-02,9.01E-01
PA14 Ancestor vs new G1,1:9,3,new G1,PA14 Ancestor,4,4.60E+06,5.72E+07,6.18E+07,7.44E-02,9.26E-01
PA14 Ancestor vs new G1,9:1,1,new G1,PA14 Ancestor,4,6.56E+07,4.60E+06,7.02E+07,9.34E-01,6.55E-02
PA14 Ancestor vs new G1,9:1,2,new G1,PA14 Ancestor,4,6.17E+07,3.10E+06,6.48E+07,9.52E-01,4.78E-02
PA14 Ancestor vs new G1,9:1,3,new G1,PA14 Ancestor,4,6.07E+07,3.20E+06,6.39E+07,9.50E-01,5.01E-02
PA14 Ancestor vs B1,1:9,1,B1,PA14 Ancestor,4,1.40E+06,6.53E+07,6.67E+07,2.10E-02,9.79E-01
PA14 Ancestor vs B1,1:9,2,B1,PA14 Ancestor,4,1.20E+06,6.46E+07,6.58E+07,1.82E-02,9.82E-01
PA14 Ancestor vs B1,1:9,3,B1,PA14 Ancestor,4,1.40E+06,7.32E+07,7.46E+07,1.88E-02,9.81E-01
PA14 Ancestor vs B1,9:1,1,B1,PA14 Ancestor,4,2.23E+07,8.70E+06,3.10E+07,7.19E-01,2.81E-01
PA14 Ancestor vs B1,9:1,2,B1,PA14 Ancestor,4,1.21E+07,8.70E+06,2.08E+07,5.82E-01,4.18E-01
PA14 Ancestor vs B1,9:1,3,B1,PA14 Ancestor,4,2.33E+07,1.86E+07,4.19E+07,5.56E-01,4.44E-01
PA14 Ancestor vs Lac Ancestor,1:9,1,Lac Ancestor,PA14 Ancestor,6,4.00E+07,3.22E+08,3.62E+08,1.10E-01,8.90E-01
PA14 Ancestor vs Lac Ancestor,1:9,2,Lac Ancestor,PA14 Ancestor,6,3.20E+07,3.32E+08,3.64E+08,8.79E-02,9.12E-01
PA14 Ancestor vs Lac Ancestor,1:9,3,Lac Ancestor,PA14 Ancestor,6,2.60E+07,3.31E+08,3.57E+08,7.28E-02,9.27E-01
PA14 Ancestor vs Lac Ancestor,9:1,1,Lac Ancestor,PA14 Ancestor,6,3.31E+08,5.70E+07,3.88E+08,8.53E-01,1.47E-01
PA14 Ancestor vs Lac Ancestor,9:1,2,Lac Ancestor,PA14 Ancestor,6,2.66E+08,8.40E+07,3.50E+08,7.60E-01,2.40E-01
PA14 Ancestor vs Lac Ancestor,9:1,3,Lac Ancestor,PA14 Ancestor,6,2.25E+08,5.60E+07,2.81E+08,8.01E-01,1.99E-01
PA14 Ancestor vs new G1,1:9,1,new G1,PA14 Ancestor,6,6.60E+06,3.09E+07,3.75E+07,1.76E-01,8.24E-01
PA14 Ancestor vs new G1,1:9,2,new G1,PA14 Ancestor,6,1.29E+07,2.72E+07,4.01E+07,3.22E-01,6.78E-01
PA14 Ancestor vs new G1,1:9,3,new G1,PA14 Ancestor,6,1.03E+07,3.21E+07,4.24E+07,2.43E-01,7.57E-01
PA14 Ancestor vs new G1,9:1,1,new G1,PA14 Ancestor,6,3.34E+08,8.00E+06,3.42E+08,9.77E-01,2.34E-02
PA14 Ancestor vs new G1,9:1,2,new G1,PA14 Ancestor,6,2.85E+08,6.00E+06,2.91E+08,9.79E-01,2.06E-02
PA14 Ancestor vs new G1,9:1,3,new G1,PA14 Ancestor,6,2.50E+08,4.00E+06,2.54E+08,9.84E-01,1.57E-02
PA14 Ancestor vs B1,1:9,1,B1,PA14 Ancestor,6,1.10E+06,1.59E+08,1.60E+08,6.87E-03,9.93E-01
PA14 Ancestor vs B1,1:9,2,B1,PA14 Ancestor,6,1.10E+06,2.06E+08,2.07E+08,5.31E-03,9.95E-01
PA14 Ancestor vs B1,1:9,3,B1,PA14 Ancestor,6,1.60E+06,1.82E+08,1.84E+08,8.71E-03,9.91E-01
PA14 Ancestor vs B1,9:1,1,B1,PA14 Ancestor,6,9.10E+07,4.40E+07,1.35E+08,6.74E-01,3.26E-01
PA14 Ancestor vs B1,9:1,2,B1,PA14 Ancestor,6,9.20E+07,8.10E+07,1.73E+08,5.32E-01,4.68E-01
PA14 Ancestor vs B1,9:1,3,B1,PA14 Ancestor,6,7.00E+07,7.70E+07,1.47E+08,4.76E-01,5.24E-01
PA14 Ancestor vs Lac Ancestor,1:9,1,Lac Ancestor,PA14 Ancestor,24,6.00E+08,4.60E+09,5.20E+09,1.15E-01,8.85E-01
PA14 Ancestor vs Lac Ancestor,1:9,2,Lac Ancestor,PA14 Ancestor,24,5.00E+08,4.80E+09,5.30E+09,9.43E-02,9.06E-01
PA14 Ancestor vs Lac Ancestor,1:9,3,Lac Ancestor,PA14 Ancestor,24,3.00E+08,3.00E+09,3.30E+09,9.09E-02,9.09E-01
PA14 Ancestor vs Lac Ancestor,9:1,1,Lac Ancestor,PA14 Ancestor,24,3.90E+09,1.50E+09,5.40E+09,7.22E-01,2.78E-01
PA14 Ancestor vs Lac Ancestor,9:1,2,Lac Ancestor,PA14 Ancestor,24,4.30E+09,1.50E+09,5.80E+09,7.41E-01,2.59E-01
PA14 Ancestor vs Lac Ancestor,9:1,3,Lac Ancestor,PA14 Ancestor,24,3.40E+09,7.00E+08,4.10E+09,8.29E-01,1.71E-01
PA14 Ancestor vs new G1,1:9,1,new G1,PA14 Ancestor,24,4.30E+08,1.00E+07,4.40E+08,9.77E-01,2.27E-02
PA14 Ancestor vs new G1,1:9,2,new G1,PA14 Ancestor,24,5.10E+08,2.00E+07,5.30E+08,9.62E-01,3.77E-02
PA14 Ancestor vs new G1,1:9,3,new G1,PA14 Ancestor,24,3.70E+08,1.00E+07,3.80E+08,9.74E-01,2.63E-02
PA14 Ancestor vs new G1,9:1,1,new G1,PA14 Ancestor,24,3.00E+09,3.00E+07,3.03E+09,9.90E-01,9.90E-03
PA14 Ancestor vs new G1,9:1,2,new G1,PA14 Ancestor,24,2.60E+09,1.00E+07,2.61E+09,9.96E-01,3.83E-03
PA14 Ancestor vs new G1,9:1,3,new G1,PA14 Ancestor,24,4.10E+09,1.00E+07,4.11E+09,9.98E-01,2.43E-03
PA14 Ancestor vs B1,1:9,1,B1,PA14 Ancestor,24,2.00E+07,1.02E+09,1.04E+09,1.92E-02,9.81E-01
PA14 Ancestor vs B1,1:9,2,B1,PA14 Ancestor,24,3.00E+07,7.00E+08,7.30E+08,4.11E-02,9.59E-01
PA14 Ancestor vs B1,1:9,3,B1,PA14 Ancestor,24,1.00E+07,8.60E+08,8.70E+08,1.15E-02,9.89E-01
PA14 Ancestor vs B1,9:1,1,B1,PA14 Ancestor,24,6.70E+08,3.10E+08,9.80E+08,6.84E-01,3.16E-01
PA14 Ancestor vs B1,9:1,2,B1,PA14 Ancestor,24,6.40E+08,2.80E+08,9.20E+08,6.96E-01,3.04E-01
PA14 Ancestor vs B1,9:1,3,B1,PA14 Ancestor,24,7.10E+08,5.60E+08,1.27E+09,5.59E-01,4.41E-01