Competitions,Hours,Day,Frequency,Date,Lac_CFU_i,Lac_CFU_f,Comp_CFU_i,Comp_CFU_f,Pop_CFU_i,Pop_CFU_f,Lac_proportion_i,Lac_proportion_f,Comp_proportion_i,Comp_proportion_f,Replicate,Lac_marker,Competitor,ln(final_Lac / initial_Lac),ln(final_Comp / initial_Comp),Selection_rate_lac,Selection_rate_comp
PA14 Ancestor vs new G1,24,1,99:1,2024-02-21,1.41E+06,3.90E+09,1.00E+05,1.00E+06,1.51E+06,3.90E+09,0.9337748,0.999743655,0.066225166,0.000256345,1,new G1,PA14 Ancestor,7.925142128,2.302585093,5.622557035,-5.622557035
PA14 Ancestor vs new G1,24,1,99:1,2024-02-21,6.00E+05,3.20E+09,1.90E+05,1.00E+06,7.90E+05,3.20E+09,0.7594937,0.999687598,0.240506329,0.000312402,2,new G1,PA14 Ancestor,8.581731713,1.660731207,6.921000506,-6.921000506
PA14 Ancestor vs new G1,24,1,99:1,2024-02-21,5.00E+05,3.50E+09,2.60E+05,1.00E+06,7.60E+05,3.50E+09,0.6578947,0.999714367,0.342105263,0.000285633,3,new G1,PA14 Ancestor,8.853665428,1.347073648,7.50659178,-7.50659178
PA14 Ancestor vs new G1,24,1,9:1,2024-02-21,1.36E+06,3.60E+09,6.60E+05,1.00E+06,2.02E+06,3.60E+09,0.6732673,0.999722299,0.326732673,0.000277701,1,new G1,PA14 Ancestor,7.881204425,0.415515444,7.465688981,-7.465688981
PA14 Ancestor vs new G1,24,1,9:1,2024-02-21,4.90E+05,1.80E+09,5.70E+05,1.00E+06,1.06E+06,1.80E+09,0.4622642,0.999444753,0.537735849,0.000555247,2,new G1,PA14 Ancestor,8.208891832,0.562118918,7.646772914,-7.646772914
PA14 Ancestor vs new G1,24,1,9:1,2024-02-21,3.80E+05,2.90E+09,9.70E+05,1.00E+06,1.35E+06,2.90E+09,0.2814815,0.999655291,0.718518519,0.000344709,3,new G1,PA14 Ancestor,8.940050042,0.030459207,8.909590835,-8.909590835
PA14 Ancestor vs new G1,24,1,1:1,2024-02-21,8.10E+05,3.30E+09,2.70E+06,1.00E+06,3.51E+06,3.30E+09,0.2307692,0.999697061,0.769230769,0.000302939,1,new G1,PA14 Ancestor,8.312398779,-0.993251773,9.305650552,-9.305650552
PA14 Ancestor vs new G1,24,1,1:1,2024-02-21,2.80E+05,3.30E+09,5.40E+06,2.00E+06,5.68E+06,3.30E+09,0.0492958,0.999394306,0.950704225,0.000605694,2,new G1,PA14 Ancestor,9.374643423,-0.993251773,10.3678952,-10.3678952
PA14 Ancestor vs new G1,24,1,1:1,2024-02-21,1.10E+05,2.30E+09,4.10E+06,4.00E+06,4.21E+06,2.30E+09,0.0261283,0.998263889,0.973871734,0.001736111,3,new G1,PA14 Ancestor,9.947939315,-0.024692613,9.972631928,-9.972631928
PA14 Ancestor vs new G1,24,1,1:9,2024-02-21,1.30E+05,1.92E+09,5.90E+06,4.00E+06,6.03E+06,1.92E+09,0.0215589,0.997920998,0.978441128,0.002079002,1,new G1,PA14 Ancestor,9.600301294,-0.38865799,9.988959283,-9.988959283
PA14 Ancestor vs new G1,24,1,1:9,2024-02-21,7.00E+04,5.40E+08,5.70E+06,6.00E+06,5.77E+06,5.46E+08,0.0121317,0.989010989,0.987868284,0.010989011,2,new G1,PA14 Ancestor,8.950829176,0.051293294,8.899535882,-8.899535882
PA14 Ancestor vs new G1,24,1,1:9,2024-02-21,1.00E+04,7.60E+08,6.80E+06,1.00E+07,6.81E+06,7.70E+08,0.0014684,0.987012987,0.998531571,0.012987013,3,new G1,PA14 Ancestor,11.23848862,0.385662481,10.85282614,-10.85282614
PA14 Ancestor vs new G1,24,1,1:99,2024-02-21,3.00E+04,9.40E+08,6.40E+06,1.20E+07,6.43E+06,9.52E+08,0.0046656,0.987394958,0.995334370,0.012605042,1,new G1,PA14 Ancestor,10.35243777,0.628608659,9.723829113,-9.723829113
PA14 Ancestor vs new G1,24,1,1:99,2024-02-21,1.00E+04,2.50E+08,8.50E+06,1.10E+07,8.51E+06,2.61E+08,0.0011751,0.957854406,0.998824912,0.042145594,2,new G1,PA14 Ancestor,10.1266311,0.257829109,9.868801995,-9.868801995
PA14 Ancestor vs new G1,24,1,1:99,2024-02-21,1.00E+04,2.90E+08,9.50E+06,6.00E+06,9.51E+06,2.96E+08,0.0010515,0.979729730,0.998948475,0.020270270,3,new G1,PA14 Ancestor,10.27505111,-0.459532329,10.73458344,-10.73458344
PA14 Ancestor vs new G1,48,2,99:1,2024-02-21,1.41E+06,6.50E+09,1.00E+05,1.00E+07,1.51E+06,6.51E+09,0.9337748,0.998463902,0.066225166,0.001536098,1,new G1,PA14 Ancestor,8.435967751,4.605170186,3.830797566,-3.830797566
PA14 Ancestor vs new G1,48,2,99:1,2024-02-21,6.00E+05,6.20E+09,1.90E+05,1.00E+07,7.90E+05,6.21E+09,0.7594937,0.998389694,0.240506329,0.001610306,2,new G1,PA14 Ancestor,9.243130195,3.9633163,5.279813895,-5.279813895
PA14 Ancestor vs new G1,48,2,99:1,2024-02-21,5.00E+05,5.50E+09,2.60E+05,1.00E+07,7.60E+05,5.51E+09,0.6578947,0.998185118,0.342105263,0.001814882,3,new G1,PA14 Ancestor,9.305650552,3.649658741,5.655991811,-5.655991811
PA14 Ancestor vs new G1,48,2,9:1,2024-02-21,1.36E+06,8.00E+09,6.60E+05,1.00E+07,2.02E+06,8.01E+09,0.6732673,0.998751561,0.326732673,0.001248439,1,new G1,PA14 Ancestor,8.679712121,2.718100537,5.961611584,-5.961611584
PA14 Ancestor vs new G1,48,2,9:1,2024-02-21,4.90E+05,5.40E+09,5.70E+05,1.00E+07,1.06E+06,5.41E+09,0.4622642,0.998151571,0.537735849,0.001848429,2,new G1,PA14 Ancestor,9.30750412,2.864704011,6.442800109,-6.442800109
PA14 Ancestor vs new G1,48,2,9:1,2024-02-21,3.80E+05,5.40E+09,9.70E+05,1.00E+07,1.35E+06,5.41E+09,0.2814815,0.998151571,0.718518519,0.001848429,3,new G1,PA14 Ancestor,9.561738259,2.3330443,7.228693958,-7.228693958
PA14 Ancestor vs new G1,48,2,1:1,2024-02-21,8.10E+05,2.10E+09,2.70E+06,1.00E+07,3.51E+06,2.11E+09,0.2307692,0.995260664,0.769230769,0.004739336,1,new G1,PA14 Ancestor,7.860413655,1.30933332,6.551080335,-6.551080335
PA14 Ancestor vs new G1,48,2,1:1,2024-02-21,2.80E+05,4.10E+09,5.40E+06,1.00E+07,5.68E+06,4.11E+09,0.0492958,0.997566910,0.950704225,0.002433090,2,new G1,PA14 Ancestor,9.591707929,0.616186139,8.975521789,-8.975521789
PA14 Ancestor vs new G1,48,2,1:1,2024-02-21,1.10E+05,6.70E+09,4.10E+06,1.00E+07,4.21E+06,6.71E+09,0.0261283,0.998509687,0.973871734,0.001490313,3,new G1,PA14 Ancestor,11.01713772,0.891598119,10.1255396,-10.1255396
PA14 Ancestor vs new G1,48,2,1:9,2024-02-21,1.30E+05,6.50E+09,5.90E+06,1.00E+07,6.03E+06,6.51E+09,0.0215589,0.998463902,0.978441128,0.001536098,1,new G1,PA14 Ancestor,10.81977828,0.527632742,10.29214554,-10.29214554
PA14 Ancestor vs new G1,48,2,1:9,2024-02-21,7.00E+04,5.60E+09,5.70E+06,1.00E+07,5.77E+06,5.61E+09,0.0121317,0.998217469,0.987868284,0.001782531,2,new G1,PA14 Ancestor,11.28978191,0.562118918,10.727663,-10.727663
PA14 Ancestor vs new G1,48,2,1:9,2024-02-21,1.00E+04,3.30E+09,6.80E+06,7.00E+07,6.81E+06,3.37E+09,0.0014684,0.979228487,0.998531571,0.020771513,3,new G1,PA14 Ancestor,12.70684793,2.33157263,10.3752753,-10.3752753
PA14 Ancestor vs new G1,48,2,1:99,2024-02-21,3.00E+04,5.80E+09,6.40E+06,2.00E+07,6.43E+06,5.82E+09,0.0046656,0.996563574,0.995334370,0.003436426,1,new G1,PA14 Ancestor,12.17217109,1.139434283,11.03273681,-11.03273681
PA14 Ancestor vs new G1,48,2,1:99,2024-02-21,1.00E+04,6.60E+09,8.50E+06,2.00E+07,8.51E+06,6.62E+09,0.0011751,0.996978852,0.998824912,0.003021148,2,new G1,PA14 Ancestor,13.39999511,0.85566611,12.544329,-12.544329
PA14 Ancestor vs new G1,48,2,1:99,2024-02-21,1.00E+04,6.90E+09,9.50E+06,2.00E+07,9.51E+06,6.92E+09,0.0010515,0.997109827,0.998948475,0.002890173,3,new G1,PA14 Ancestor,13.44444688,0.744440475,12.7000064,-12.7000064
PA14 Ancestor vs Lac Ancestor,24,1,1:9,2024-03-01,9.00E+05,6.00E+08,2.40E+06,2.50E+09,3.30E+06,3.10E+09,0.2727273,0.193548387,0.727272727,0.806451613,1,Lac Ancestor,PA14 Ancestor,6.502290171,6.948577274,-0.446287103,0.446287103
PA14 Ancestor vs Lac Ancestor,24,1,1:9,2024-03-01,6.00E+05,1.40E+09,5.00E+06,2.70E+09,5.60E+06,4.10E+09,0.1071429,0.341463415,0.892857143,0.658536585,2,Lac Ancestor,PA14 Ancestor,7.755053139,6.29156914,1.463484,-1.463484
PA14 Ancestor vs Lac Ancestor,24,1,1:9,2024-03-01,4.00E+05,7.00E+08,5.20E+06,3.50E+09,5.60E+06,4.20E+09,0.0714286,0.166666667,0.928571429,0.833333333,3,Lac Ancestor,PA14 Ancestor,7.467371067,6.511859622,0.955511445,-0.955511445
PA14 Ancestor vs Lac Ancestor,24,1,9:1,2024-03-01,6.70E+06,3.70E+09,4.00E+05,5.10E+08,7.10E+06,4.21E+09,0.9436620,0.878859857,0.056338028,0.121140143,1,Lac Ancestor,PA14 Ancestor,6.313980572,7.150701458,-0.836720885,0.836720885
PA14 Ancestor vs Lac Ancestor,24,1,9:1,2024-03-01,3.80E+06,2.10E+09,4.00E+05,2.40E+08,4.20E+06,2.34E+09,0.9047619,0.897435897,0.095238095,0.102564103,2,Lac Ancestor,PA14 Ancestor,6.314691557,6.396929655,-0.082238098,0.082238098
PA14 Ancestor vs Lac Ancestor,24,1,9:1,2024-03-01,3.30E+06,3.90E+09,1.00E+05,1.30E+09,3.40E+06,5.20E+09,0.9705882,0.750000000,0.029411765,0.250000000,3,Lac Ancestor,PA14 Ancestor,7.074809364,9.472704636,-2.397895273,2.397895273
PA14 Ancestor vs new G1,24,1,1:99,2024-03-01,1.00E+04,3.20E+08,4.80E+06,6.10E+07,4.81E+06,3.81E+08,0.0020790,0.839895013,0.997920998,0.160104987,1,new G1,PA14 Ancestor,10.37349118,2.542257946,7.831233236,-7.831233236
PA14 Ancestor vs new G1,24,1,1:99,2024-03-01,1.00E+04,1.59E+08,5.70E+06,1.30E+07,5.71E+06,1.72E+08,0.0017513,0.924418605,0.998248687,0.075581395,2,new G1,PA14 Ancestor,9.674074388,0.824483183,8.849591206,-8.849591206
PA14 Ancestor vs new G1,24,1,1:99,2024-03-01,1.00E+04,1.70E+07,5.70E+06,2.10E+07,5.71E+06,3.80E+07,0.0017513,0.447368421,0.998248687,0.552631579,3,new G1,PA14 Ancestor,7.43838353,1.304056263,6.134327267,-6.134327267
PA14 Ancestor vs new G1,24,1,1:9,2024-03-01,3.00E+04,6.40E+08,5.50E+06,4.00E+06,5.53E+06,6.44E+08,0.0054250,0.993788820,0.994575045,0.006211180,1,new G1,PA14 Ancestor,9.968026074,-0.318453731,10.2864798,-10.2864798
PA14 Ancestor vs new G1,24,1,1:9,2024-03-01,2.00E+04,4.30E+08,3.80E+06,2.60E+07,3.82E+06,4.56E+08,0.0052356,0.942982456,0.994764398,0.057017544,2,new G1,PA14 Ancestor,9.975808214,1.923095471,8.052712743,-8.052712743
PA14 Ancestor vs new G1,24,1,1:9,2024-03-01,2.00E+04,1.90E+08,2.80E+06,3.10E+07,2.82E+06,2.21E+08,0.0070922,0.859728507,0.992907801,0.140271493,3,new G1,PA14 Ancestor,9.159047078,2.404367787,6.75467929,-6.75467929
PA14 Ancestor vs new G1,24,1,9:1,2024-03-01,5.70E+05,3.36E+09,6.10E+05,2.00E+06,1.18E+06,3.36E+09,0.4830508,0.999405116,0.516949153,0.000594884,1,new G1,PA14 Ancestor,8.681815171,1.187443502,7.494371669,-7.494371669
PA14 Ancestor vs new G1,24,1,9:1,2024-03-01,2.00E+05,2.36E+09,6.40E+05,1.00E+06,8.40E+05,2.36E+09,0.2380952,0.999576451,0.761904762,0.000423549,2,new G1,PA14 Ancestor,9.37585481,0.446287103,8.929567708,-8.929567708
PA14 Ancestor vs new G1,24,1,9:1,2024-03-01,2.70E+05,1.76E+09,7.30E+05,2.00E+06,1.00E+06,1.76E+09,0.2700000,0.998864926,0.730000000,0.001135074,3,new G1,PA14 Ancestor,8.782402408,1.007857925,7.774544483,-7.774544483
PA14 Ancestor vs B1,24,1,1:99,2024-03-01,1.00E+05,6.00E+06,5.90E+06,4.70E+08,6.00E+06,4.76E+08,0.0166667,0.012605042,0.983333333,0.987394958,1,B1,PA14 Ancestor,4.094344562,4.377780344,-0.283435782,0.283435782
PA14 Ancestor vs B1,24,1,1:99,2024-03-01,9.00E+04,1.90E+07,6.60E+06,6.00E+08,6.69E+06,6.19E+08,0.0134529,0.030694669,0.986547085,0.969305331,2,B1,PA14 Ancestor,5.352384588,4.509860006,0.842524582,-0.842524582
PA14 Ancestor vs B1,24,1,1:99,2024-03-01,1.00E+05,1.00E+06,7.00E+06,8.30E+08,7.10E+06,8.31E+08,0.0140845,0.001203369,0.985915493,0.998796631,3,B1,PA14 Ancestor,2.302585093,4.775515552,-2.472930459,2.472930459
PA14 Ancestor vs B1,24,1,1:9,2024-03-01,2.00E+05,1.00E+08,5.80E+06,6.10E+08,6.00E+06,7.10E+08,0.0333333,0.140845070,0.966666667,0.859154930,1,B1,PA14 Ancestor,6.214608098,4.65560104,1.559007059,-1.559007059
PA14 Ancestor vs B1,24,1,1:9,2024-03-01,6.00E+05,9.00E+07,5.10E+06,5.00E+08,5.70E+06,5.90E+08,0.1052632,0.152542373,0.894736842,0.847457627,2,B1,PA14 Ancestor,5.010635294,4.585367559,0.425267735,-0.425267735
PA14 Ancestor vs B1,24,1,1:9,2024-03-01,1.00E+05,2.40E+07,7.90E+06,5.20E+08,8.00E+06,5.44E+08,0.0125000,0.044117647,0.987500000,0.955882353,3,B1,PA14 Ancestor,5.480638923,4.186966052,1.293672871,-1.293672871
PA14 Ancestor vs B1,24,1,9:1,2024-03-01,3.30E+06,9.30E+08,6.00E+05,1.40E+08,3.90E+06,1.07E+09,0.8461538,0.869158879,0.153846154,0.130841121,1,B1,PA14 Ancestor,5.641262118,5.452468046,0.188794071,-0.188794071
PA14 Ancestor vs B1,24,1,9:1,2024-03-01,2.10E+06,9.20E+08,8.00E+05,1.30E+08,2.90E+06,1.05E+09,0.7241379,0.876190476,0.275862069,0.123809524,2,B1,PA14 Ancestor,6.082436325,5.090678002,0.991758324,-0.991758324
PA14 Ancestor vs B1,24,1,9:1,2024-03-01,2.20E+06,7.50E+08,3.00E+05,2.40E+08,2.50E+06,9.90E+08,0.8800000,0.757575758,0.120000000,0.242424242,3,B1,PA14 Ancestor,5.831615846,6.684611728,-0.852995882,0.852995882
PA14 Ancestor vs B1,24,1,9:1,2021-09-07,1.80E+06,6.00E+07,2.33E+07,1.01E+09,2.51E+07,1.07E+09,0.0717131,0.056074766,0.928286853,0.943925234,1,B1,PA14 Ancestor,3.506557897,3.769252249,-0.262694352,0.262694352
